2,2,user_gip_gate1[7:0],,,,,,,,0x00
3,3,ck_all_on_en,stv_all_on_en,ck_all_on_width1[5:0] ,,,,,,0x00
4,4,,,ck_all_on_width2[5:0] ,,,,,,0x00
5,5,,,ck_all_on_width3[5:0] ,,,,,,0x00
6,6,ys_flag_period[7:0],,,,,,,,0x00
7,7,ys2_sel_2[1:0],,ys1_sel_2[1:0],,ys2_xor_2,ys1_xor_2,ys_flag_en_2,all_on_en_2,0x94
8,8,user_gip_gate1_2[7:0],,,,,,,,0x00
9,9,ck_all_on_en_2,stv_all_on_en_2,ck_all_on_width1_2[5:0] ,,,,,,0x00
A,10,,,ck_all_on_width2_2[5:0] ,,,,,,0x00
B,11,,,ck_all_on_width3_2[5:0] ,,,,,,0x00
C,12,ys_flag_period_2[7:0],,,,,,,,0x00
D,13,COS1_L_GS[3:0],,,,COS2_L_GS[3:0],,,,0x00
E,14,COS3_L_GS[3:0],,,,COS4_L_GS[3:0],,,,0x00
F,15,COS5_L_GS[3:0],,,,COS6_L_GS[3:0],,,,0x00
10,16,COS7_L_GS[3:0],,,,COS8_L_GS[3:0],,,,0x00
11,17,COS9_L_GS[3:0],,,,COS10_L_GS[3:0],,,,0x00
12,18,COS11_L_GS[3:0],,,,COS12_L_GS[3:0],,,,0x00
13,19,COS13_L_GS[3:0],,,,COS14_L_GS[3:0],,,,0x00
14,20,COS15_L_GS[3:0],,,,COS16_L_GS[3:0],,,,0x00
15,21,COS17_L_GS[3:0],,,,COS18_L_GS[3:0],,,,0x00
16,22,COS19_L_GS[3:0],,,,COS20_L_GS[3:0],,,,0x00
17,23,COS21_L_GS[3:0],,,,COS22_L_GS[3:0],,,,0x00
18,24,COS1_R_GS[3:0],,,,COS2_R_GS[3:0],,,,0x00
19,25,COS3_R_GS[3:0],,,,COS4_R_GS[3:0],,,,0x00
1A,26,COS5_R_GS[3:0],,,,COS6_R_GS[3:0],,,,0x00
1B,27,COS7_R_GS[3:0],,,,COS8_R_GS[3:0],,,,0x00
1C,28,COS9_R_GS[3:0],,,,COS10_R_GS[3:0],,,,0x00
1D,29,COS11_R_GS[3:0],,,,COS12_R_GS[3:0],,,,0x00
1E,30,COS13_R_GS[3:0],,,,COS14_R_GS[3:0],,,,0x00
1F,31,COS15_R_GS[3:0],,,,COS16_R_GS[3:0],,,,0x00
20,32,COS17_R_GS[3:0],,,,COS18_R_GS[3:0],,,,0x00
21,33,COS19_R_GS[3:0],,,,COS20_R_GS[3:0],,,,0x00
22,34,COS21_R_GS[3:0],,,,COS22_R_GS[3:0],,,,0x00
23,35,-,-,EQOPT[1:0],,-,-,EQ_SEL[1:0],,0x30
24,36,EQ_DELAY[7:0],,,,,,,,0x00
25,37,-,-,-,-,EQ_DELAY_HSYNC[3:0],,,,0x00
26,38,-,-,-,-,-,-,HSYNC_TO_CL1_CNT10[9:8],,0x00
27,39,HSYNC_TO_CL1_CNT10[7:0],,,,,,,,0x01
28,40,-,-,-,-,-,-,-,HIZ_L,0x00
29,41,-,-,-,-,-,-,-,HIZ_R,0x00
2A,42,-,-,CKS_GS[21:16],,,,,,0x00
2B,43,CKS_GS[15:8],,,,,,,,0x00
2C,44,CKS_GS[7:0],,,,,,,,0x00
2D,45,-,-,CK_MSB_EN[21:16],,,,,,0x00
2E,46,CK_MSB_EN[15:8],,,,,,,,0x00
2F,47,CK_MSB_EN[7:0],,,,,,,,0x00
30,48,-,-,CK_MSB_EN_GS[21:16],,,,,,0x00
31,49,CK_MSB_EN_GS[15:8],,,,,,,,0x00
32,50,CK_MSB_EN_GS[7:0],,,,,,,,0x00
33,51,-,-,-,SHR2[12:8],,,,,0x00
34,52,SHR2[7:0],,,,,,,,0x00
35,53,SHR2_1[3:0],,,,SHR2_2[3:0],,,,0x00
36,54,SHR2_3[3:0],,,,-,-,-,-,0x00
37,55,SHP1[3:0],,,,-,-,-,-,0x00
38,56,SPON1[7:0],,,,,,,,0x00
39,57,SPOFF1[7:0],,,,,,,,0x00
3A,58,SHP2[3:0],,,,-,-,-,-,0x00
3B,59,SPON2[7:0],,,,,,,,0x00
3C,60,SPOFF2[7:0],,,,,,,,0x00
3D,61,SPOFF2[9:8],,SPON2[9:8],,SPOFF1[9:8],,SPON1[9:8],,0x00
EB,SETCOLOR,1,1,1,0,1,0,1,1,
1,1,Bkx[1:0],,Bky[1:0],,Wx[1:0],,Wy[1:0],,BY OTP
2,2,BKx[9:2],,,,,,,,BY OTP
3,3,BKy[9:2],,,,,,,,BY OTP
4,4,Wx[9:2],,,,,,,,BY OTP
5,5,Wy[9:2],,,,,,,,BY OTP
6,6,Rx[1:0],,Ry[1:0],,Gx[1:0],,Gy[1:0],,BY OTP
7,7,Rx[9:2],,,,,,,,BY OTP
8,8,Ry[9:2],,,,,,,,BY OTP
9,9,Gx[9:2],,,,,,,,BY OTP
